Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,WIPRO.NS
2025-03-13,841.9197387695312,1534.439208984375,1242.9359130859375,3393.7646484375,252.39129638671875
2025-03-17,843.7944946289062,1544.34619140625,1233.9217529296875,3380.8603515625,248.42376708984375
2025-03-18,843.7944946289062,1544.34619140625,1233.9217529296875,3380.8603515625,248.42376708984375
2025-03-19,860.4197387695312,1540.94677734375,1242.1888427734375,3380.28076171875,254.01654052734375
2025-03-20,872.580322265625,1569.1131591796875,1264.101318359375,3444.1240234375,256.21539306640625
2025-03-21,873.3696899414062,1546.7742919921875,1271.2725830078125,3458.574951171875,252.67807006835938
2025-03-24,887.9969482421875,1546.968505859375,1296.920166015625,3507.725830078125,257.5538024902344
2025-03-25,898.5789184570312,1581.6422119140625,1280.33642578125,3535.563720703125,259.0834655761719
2025-03-26,891.2283325195312,1553.475830078125,1267.98583984375,3514.346923828125,255.64178466796875
2025-03-27,900.5029296875,1557.4581298828125,1273.115234375,3529.23291015625,260.230712890625
2025-03-28,901.9088745117188,1525.5037841796875,1270.027587890625,3485.6875,250.71823120117188
2025-04-01,872.1363525390625,1482.6226806640625,1247.6170654296875,3432.1865234375,251.0528564453125
2025-04-02,886.4676513671875,1505.593017578125,1246.1729736328125,3425.5654296875,252.00889587402344
2025-04-03,885.456298828125,1453.485107421875,1243.732666015625,3289.46875,245.0776824951172
2025-04-04,896.5316772460938,1409.92431640625,1199.9075927734375,3189.1845703125,235.4696044921875
2025-04-07,867.1289672851562,1356.602294921875,1161.062744140625,3164.68115234375,232.21908569335938
2025-04-08,872.7777099609375,1387.7310791015625,1177.4971923828125,3182.949951171875,236.37782287597656
2025-04-09,870.7303466796875,1363.3524169921875,1180.6346435546875,3138.1484375,226.24391174316406
2025-04-11,891.3269653320312,1368.9371337890625,1214.1009521484375,3123.552734375,229.20761108398438
2025-04-15,920.0142211914062,1385.011474609375,1235.1668701171875,3139.69482421875,233.27072143554688
2025-04-16,926.4768676757812,1372.482177734375,1234.3701171875,3164.439453125,236.76022338867188
2025-04-17,940.6354370117188,1378.6983642578125,1269.4300537109375,3188.701416015625,226.48292541503906
2025-04-21,950.6994018554688,1409.29296875,1290.346435546875,3210.642822265625,227.96478271484375
2025-04-22,967.7686767578125,1381.903564453125,1286.0635986328125,3203.68310546875,223.85385131835938
2025-04-23,949.1207275390625,1432.5059814453125,1294.82861328125,3298.98974609375,232.88832092285156
2025-04-24,945.6181030273438,1429.1065673828125,1296.4222412109375,3287.970458984375,232.07569885253906
2025-04-25,942.8554077148438,1437.653564453125,1295.22705078125,3332.82080078125,230.30703735351562
2025-04-28,947.29541015625,1439.4989013671875,1363.35498046875,3328.470458984375,229.9246368408203
2025-04-29,941.6714477539062,1454.456298828125,1394.1319580078125,3356.501953125,230.78504943847656
